Go clean up. | 去洗漱
Go wash up. | 去洗漱（另一种说法）
Rinse your mouth. | 漱口
Rinse out your mouth. | 漱漱口
Gargle. | 漱口（含漱）
Rinse. | 冲一冲
Take a shower. | 洗澡
Dry your hands. | 擦干手
Go to the bathroom. | 去厕所
Have some tea. | 喝点茶
Get out of bed. | 起床了
Get dressed. | 穿好衣服
Let's go downstairs. | 下楼吧
Eat something. | 吃点东西
Come to dinner. | 来吃晚饭
Get off your phone. | 别看手机了
It's getting cold. | 饭要凉了
Warm it up first. | 先热一下
Get some fresh air. | 呼吸新鲜空气
Get some sun. | 晒晒太阳
I'm heading out the door. | 我要出门了
Get some groceries. | 买点菜
The sun's out. | 太阳出来了
Take a walk. | 去走走
It's raining. | 下雨了
It's getting windy. | 起风了
Order some food. | 点东西吃
Set the table. | 布置桌子
Stand up. | 起来
Sit down. | 坐下
I'll have a burger. | 我要一个汉堡
That's everything. | 就这些
Get in the car. | 上车吧
Get on the plane. | 上飞机
Be careful. | 当心
Don't fall down. | 别摔了
Hold on. | 抓紧
Let go. | 松手
Turn around. | 转过来、转过去
Back away. | 后退
Don't stare. | 别盯着
Close your eyes. | 闭上眼睛
Blow your nose. | 擤鼻涕
I sneezed. | 我打了个喷嚏
I need help. | 我需要帮助
Are you sick? | 你生病了吗
I'm not feeling well. | 我不太舒服
Take some medicine. | 吃点药
Where does it hurt? | 哪里疼
Is it your stomach? | 是肚子吗
Take a rest. | 休息一下
Have some water. | 喝点水
Lie down. | 躺下
Relax. | 放松
Your fever broke. | 你的烧退了
I still have a little cough. | 我还有点咳嗽
What size are you? | 你穿多大码
Just pick out anything. | 随便挑
Put it on. | 穿上
Take it off. | 脱下来
It doesn't fit. | 它不合适
Can I return it? | 可以退吗
What's your number? | 你号码多少
Pick up the phone. | 接电话
Stop calling me. | 别给我打电话了
Ma'am, you called us. | 女士，是你打给我们的
Why didn't you wake me? | 为什么不叫醒我
I overslept. | 我睡过头了
What time will you finish? | 你什么时候结束
I'll finish at two. | 我两点结束
Let's hang out. | 出去玩吧
I'm coming to get you. | 我来接你了
Lend me 10 bucks. | 借我10块钱
I want my money. | 还我钱
Are you angry? | 你生气了吗
Of course not. | 当然没有
I'm shocked. | 我很震惊
I'm offended. | 我受到了冒犯
Don't be sad. | 别伤心
Get yourself together. | 振作起来
Great job. | 做得好
You're right. | 你说的对
You look great today. | 你今天精神很好
I got enough sleep. | 我睡够了
Make your bed. | 整理你的床
My alarm's set. | 我闹钟定好了
Sleep in. | 多睡会儿
Read a book. | 读书
Your room's messy. | 你的房间很乱
Clean your room. | 打扫你的房间
Put on some music. | 放点音乐
Smell some flowers. | 闻闻花香
Have a glass of wine. | 喝一杯酒
Have some nice food. | 吃点好的
Let me hug you. | 让我抱你
Get off of me. | 放开我
Come in. | 进来
Lock the door. | 把门锁上
Don't mix them up. | 别把它们搞混了
Sort them out. | 把它们分清楚
Keep it. | 收下它、留着自己用
Throw it out. | 把它扔了
Turn on the lights. | 打开灯
The power's out. | 停电了
Mop the floor. | 擦地板
Do the dishes. | 洗碗
Put it up. | 挂上去
Take it down. | 拿下来
Climb up. | 爬上去
Climb down. | 爬下来
Do the laundry. | 洗衣服
Water the plants. | 浇花
Take it out. | 拿出来
Put it back. | 放回去
Don't fall asleep. | 别睡着了
Don't stay up. | 别熬夜
I had a nightmare. | 我做了个噩梦
Go to bed early. | 早点睡
Give me a thumbs up. | 给我点个赞吧
We have more like this. | 我们还有更多像这样的
